name	postindex	address	contact	latitude	longitude	unk1	unk2	image_url	unk3	unk4
Пост с.Званное ППС Курской области	53555	Глушкий район, с.Званное ул.Октябрьская, 35 - Б<br />	21001 (Феднев Вячеслав Александрович)	51.376800	34.550401	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-29	53061	с. Дебесы, ул. Строителей, 1	(8-341-51) 2-11-79 (Ураков Андрей Васильевич)	57.651080	53.804522	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-28	53059	с. Грахово, ул. Азина, 25	(8-341-63) 3-13-08 (Мыльников Сергей Владимирович)	56.045302	51.948998	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-61 ГУ «6 ОФПС»	53221	с. Визинга, ул. 50 лет ВЛКСМ, 84	(82131) 9-26-41 (Асанбаев Владимир Геннадьевич)	61.058301	50.069902	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть № 21 (Белозерский район) 	53301	с. Белозерское, ул. Попова 1<br />	8(35232) 2-26-02 (Зотикова Людмила Геннадьевна, инспектор  по основной деятельности)	55.822999	65.586700	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-25	53053	с. Алнаши, ул. Первомайская, 1	(8-341-50) 3-13-45 (Юрин Сергей Васильевич)	56.184300	52.483001	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-52 ГУ «5 ОФПС»	53217	с. Айкино, ул. Центральная д.115	(82134) 2-00-01 (Антоненко Александр Николаевич)	62.219081	49.996878	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
9 ПЧ 8 ОФПС	53264	С-Пб Большой проспект В.О., дом 73	356-63-21 (Клинг Игорь Викторович), 355-71-00 (Герасименко Александр Николаевич)	59.933988	30.263658	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
44 ПЧ Хомутовского  района ППС Курской области	53513	п. Хомутовка, ул. Кирова,  23<br />	21101 (Устиченко Александр Владимирович)	51.918199	34.558099	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
44 ПЧ Хомутовского  района ППС Курской области	53515	п. Хомутовка, ул. Кирова,  23<br />	21101 (Устиченко Александр Владимирович)	51.918199	34.558099	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-73	54017	п. Увельский, ул. Кирова, 11	8 351 66 3-14-00 (Начальник КУТЕЙНИКОВ Виктор Владимирович)	54.438701	61.351197	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
43 ПЧ Тимского  района ППС Курской области	53509	п. Тим, ул. Кирова,  49  л	21099 (Акульшин Леонид Витальевич)	51.615202	37.122996	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
43 ПЧ Тимского  района ППС Курской области	53511	п. Тим, ул. Кирова,  49  л	21099 (Акульшин Леонид Витальевич)	51.615202	37.122996	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
25 ПЧ п. Теткино ППС Курской области	53423	Глушковский  р-н, п. Теткино ул.Первомайская, 33<br />	24222 (Полиенко Василий Иванович)	51.281701	34.290500	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
25 ПЧ п. Теткино ППС Курской области	53425	Глушковский  р-н, п. Теткино ул.Первомайская, 33<br />	24222 (Полиенко Василий Иванович)	51.281701	34.290500	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ № 4 ФГКУ «1 ОФПС по Белгородской области»	53850	Белгородский район, п.Северный, ул.Транспортная, 10	8-960-623-60-62 (Кузьменко Владимир Анатольевич)	50.660599	36.556204	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
37 ПЧ Поныровского  района ППС Курской области	53485	п. Поныри, ул. М.Горького, 39	21101 (Вавилов Валерий Васильевич)	52.316500	36.292396	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
37 ПЧ Поныровского  района ППС Курской области	53487	п. Поныри, ул. М.Горького, 39	21101 (Вавилов Валерий Васильевич)	52.316500	36.292396	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ «6 ОФПС по Челябинской области»	53989	г. Копейск, ул. Ленина, 2	8 351 39 239-71-45, 7-51-86 (Начальник СМАГИН Евгений Юрьевич)	55.231201	61.602303	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть № 31 (Мишкинский район)	53325	р.п. Мишкино, ул. Первомайская 68<br />	8(35247) 2-32-02 (Маслакова Ольга Дмитриевна, инспектор  по основной деятельности)	55.337599	63.925104	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
31 ПЧ Кореневского  района   ППС Курской области	53461	п. Коренево, ул. Октябрьская, 11	21101 (Дрючин Николай Васильевич)	51.418198	34.903403	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
31 ПЧ Кореневского  района   ППС Курской области	53463	п. Коренево, ул. Октябрьская, 11	21101 (Дрючин Николай Васильевич)	51.418198	34.903403	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
30 ПЧ Конышевского  района ППС Курской области 	53457	п. Конышевка, ул.Мирная, 5	21501 (Квасов Валерий Николаевич)	51.839099	35.297601	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
30 ПЧ Конышевского  района ППС Курской области 	53459	п. Конышевка, ул.Мирная, 5	21501 (Квасов Валерий Николаевич)	51.839099	35.297601	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-34	53072	п. Кизнер, ул. Первомайская, 77 	(8-341-54) 3-52-35 (Портнов Сергей Викторович)	56.273500	51.518004	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
28 ПЧ Касторенского  района  ППС Курской области	53449	п. Касторное, ул.Фрунзе, 116	21001 (Коновалов Геннадий Андреевич)	51.826499	38.141003	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
28 ПЧ Касторенского  района  ППС Курской области	53451	п. Касторное, ул.Фрунзе, 116	21001 (Коновалов Геннадий Андреевич)	51.826499	38.141003	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
27 ПЧ Золотухинского  района ППС Курской области	53445	п.Золотухино, ул. Железнодорожная, 82	21101 (Стрелков Иван Иванович)	52.082398	36.372400	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть № 24 (Каргапольский район)	53309	р.п. Каргаполье, ул. Мира 15	8(35256) 2-14-01 (Шахматов Андрей Анатольевич, инспектор по основной деятельности)	55.955100	64.431700	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
27 ПЧ Золотухинского  района ППС Курской области	53447	п.Золотухино, ул. Железнодорожная, 82	21101 (Стрелков Иван Иванович)	52.082398	36.372400	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост м. Свобода ППС Курской области	53529	Золотухинский район м. Свобода ул. Электрическая, 1<br />	41101 (Бурцев Сергей Васильевич)	52.086101	36.386898	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост м. Свобода ППС Курской области	53531	Золотухинский район м. Свобода ул. Электрическая, 1<br />	41101 (Бурцев Сергей Васильевич)	52.086101	36.386898	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
23 ПЧ Горшеченского  района  ППС Курской области	53429	п. Горшечное, ул. Мира, 1	21301 (Черевченко Михаил Владимирович)	51.533299	38.036798	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
23 ПЧ Горшеченского  района  ППС Курской области	53431	п. Горшечное, ул. Мира, 1	21301 (Черевченко Михаил Владимирович)	51.533299	38.036798	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-52	53999	п. Вахрушево, ул. 22 Партсъезда, 13б	8-351-39 9-81-01 (Начальник ВАСЯНИН Олег Викторович)	55.230102	61.730798	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-56	53973	с. Аргаяш, ул. Комсомольская, 12	8-351-31 2-14- 38 (Начальник ЖИГАНШИН Роберт Вакильевич)	55.488800	60.881504	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Ястребовка ППС Курской области	53533	Мантуровский район, с. Ястребовка<br />	41101 (Селезнев Николай Владимирович)	51.449524	37.555014	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Ястребовка ППС Курской области	53535	Мантуровский район, с. Ястребовка<br />	41101 (Селезнев Николай Владимирович)	51.449524	37.555014	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-55	54011	п. Южный	код  8-351-63 2-43-60 ШКАРАПУТА Михаил Александрович	53.120545	59.455913	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-76	54019	с. Чесма, ул. Первомайская, 1	8-351-69 2-10-50 (Начальник БОБЫРЬ Алексей Владимирович)	53.806717	60.657365	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
46 ПЧ Черемисиновского  района ППС Курской области	53521	п. Черемисиново, ул. Петровский проезд,4	21001 (Токмаков Иван Александрович)	51.888643	37.274614	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
46 ПЧ Черемисиновского  района ППС Курской области	53523	п. Черемисиново, ул. Петровский проезд,4	21001 (Токмаков Иван Александрович)	51.888643	37.274614	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-68	53926	с. Фершампенуаз, Нагайбакского района, пер. Пионерский, 2	8-351-57 2-21-43, 2-20-60 (Начальник ЯКОВЛЕВ Сергей Иванович)	53.519519	59.821698	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-74	53987	с. Уйское, ул. Карла Маркса, 34	8-351-65-3-11-05, Начальник  ГАБДРАФИКОВ  Касим Каюмович  	54.377710	59.998774	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-40	53084	п. Ува, ул. Карла Маркса, 22 	(8-341-30) 5-18-30 (Хорошавина Надежда Васильевна)	56.988002	52.181787	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть № 22 (Варгашинский район) 	53303	п.Варгаши, ул. Матросова, 56<br />	8(35233)2-15-91 (Сунгурова Татьяна Николаевна, инспектор  по основной деятельности)	55.383802	65.796699	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Старый Лещин ППС Курской области	53557	Солнцевский район, с.Старый Лещин	21101 (Бурцев Павел Викторович)	51.489897	36.897555	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Старый Лещин ППС Курской области	53559	Солнцевский район, с.Старый Лещин	21101 (Бурцев Павел Викторович)	51.489897	36.897555	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Средние Апочки ППС Курской области	53545	Горшеченский  район, с. Средние Апочки, ул. Советская 1<br />	21301 (Головин Александр Алексеевич)	51.511651	37.699840	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Средние Апочки ППС Курской области	53547	Горшеченский  район, с. Средние Апочки, ул. Советская 1<br />	21301 (Головин Александр Алексеевич)	51.511651	37.699840	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
41 ПЧ Солнцевского  района ППС Курской области	53501	п. Солнцево, ул.Ленина, 45<br />	21101 (Бурцев Юрий Михайлович)	51.410828	36.751965	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
41 ПЧ Солнцевского  района ППС Курской области	53503	п. Солнцево, ул.Ленина, 45<br />	21101 (Бурцев Юрий Михайлович)	51.410828	36.751965	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
33 ПЧ п. Сейм Мантуровского района ППС Курской области	53469	Мантуровский район, п. Сейм	51301 (Барбинов Олег Анатольевич)	51.344276	37.045328	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
33 ПЧ п. Сейм Мантуровского района ППС Курской области	53471	Мантуровский район, п. Сейм	51301 (Барбинов Олег Анатольевич)	51.344276	37.045328	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Рыбинские Буды ППС Курской области	53573	Обоянский район, с. Рыбинские Буды<br />	21461 (Кононов Сергей Иванович)	51.204945	35.953497	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Рыбинские Буды ППС Курской области	53575	Обоянский район, с. Рыбинские Буды<br />	21461 (Кононов Сергей Иванович)	51.204945	35.953497	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
38 ПЧ Пристенского  района ППС Курской области	53489	п. Пристень, ул.Советская, 34	21101 (Ломоносов Александр Николаевич)	51.236220	36.697895	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
38 ПЧ Пристенского  района ППС Курской области	53491	п. Пристень, ул.Советская, 34	21101 (Ломоносов Александр Николаевич)	51.236220	36.697895	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост д. Петропавловка ППС Курской области	53549	Советский район, д. Петропавловка<br />	21101 (Положенцев Сергей Николаевич)	51.668160	37.549920	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост д. Петропавловка ППС Курской области	53551	Советский район, д. Петропавловка<br />	21101 (Положенцев Сергей Николаевич)	51.668160	37.549920	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с.Орехово ППС Курской области	53569	Касторенский район, с. Орехово	32122 (Иванов Николай Михайлович)	51.757435	38.376505	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть № 39 (Частоозерский район)	53375	с. Частоозерье, ул.Октябрьская, 115	8(35230) 9-20-50 (Хательская Татьяна Николаевна, инспектор по основной деятельности)	55.567983	67.911674	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть № 23 (Звериноголовский район)	53307	с. Звериноголовское, ул. Октябрьская 39	8(35240) 2-00-01 (Жильцова Светлана Анатольевна, инспектор по основной деятельности)	54.465120	64.854609	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с.Орехово ППС Курской области	53571	Касторенский район, с. Орехово	32122 (Иванов Николай Михайлович)	51.757435	38.376505	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Ольховатка ППС Курской области	53561	Поныровский район, с.Ольховатка, ул. Большак, 27-А	21101 (Богданов Николай Алексеевич)	52.252913	36.125102	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Ольховатка ППС Курской области	53563	Поныровский район, с.Ольховатка, ул. Большак, 27-А	21101 (Богданов Николай Алексеевич)	52.252913	36.125102	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
29 ПЧ п. Олымский  Касторенского  района  ППС Курской области	53453	Касторенский р-н  п.Олымский, ул.Строителей,  8	66991 (Бородин Руслан Евгеньевич)	51.775845	38.146438	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
29 ПЧ п. Олымский  Касторенского  района  ППС Курской области	53455	Касторенский р-н  п.Олымский, ул.Строителей,  8	66991 (Бородин Руслан Евгеньевич)	51.775845	38.146438	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть № 20 (Альменевский район)	53298	с. Альменево, ул.Советская 11	8(35242)9-24-55 (Локосова Надежда Ивановна, инспектор  по основной деятельности  ПЧ № 20)	54.945474	63.578345	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-70	54013	с. Октябрьское, ул. Восточная, 104	8-351-58-5-29-87, Заместитель начальника  КОРОВИН  Евгений Владимирович  	54.412448	62.727937	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
34 ПЧ Медвенского  района ППС Курской области	53473	п. Медвенка, ул. Советская, 58	41101 (ВрИО начальника Веревкин Алексей Васильевич)	51.420338	36.119380	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
34 ПЧ Медвенского  района ППС Курской области	53475	п. Медвенка, ул. Советская, 58	41101 (ВрИО начальника Веревкин Алексей Васильевич)	51.420338	36.119380	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
14 ПЧ по охране Мантуровского района ГУ &quot;1 Отряд  ФПС по Курской области&quot;	53392	Мантуровский район, с. Мантурово	2-11-01 (майор вн. службы Золотухин Алексей Иванович)	51.453324	37.126868	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
14 ПЧ по охране Мантуровского района ГУ &quot;1 Отряд  ФПС по Курской области&quot;	53396	Мантуровский район, с. Мантурово	2-11-01 (майор вн. службы Золотухин Алексей Иванович)	51.453324	37.126868	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с.Лачиново ППС Курской области	53565	Касторенский район, с. Лачиново	41201 (Захаров Валерий Леонидович)	51.803165	37.922523	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с.Лачиново ППС Курской области	53567	Касторенский район, с. Лачиново	41201 (Захаров Валерий Леонидович)	51.803165	37.922523	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
40 ПЧ Советского  района ППС Курской области	53497	Советский район, п. Кшенский, ул. Ленина,  7<br />	21101 (Усов Роман Николаевич)	51.844580	37.715210	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
40 ПЧ Советского  района ППС Курской области	53499	Советский район, п. Кшенский, ул. Ленина,  7<br />	21101 (Усов Роман Николаевич)	51.844580	37.715210	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-65	54031	с. Кунашак, ул. Октябрьская,16	8-351-48 3-10-38 (Начальник ШАГИАХМЕТОВ Руслан Ревьевич)	55.698310	61.546176	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост п. Крупец ППС Курской области	53537	Рыльский район, с.Крупец  ул.Советская, 144а	22331 (Казарезов Евгений Владимирович)	51.624043	34.359859	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост п. Крупец ППС Курской области	53539	Рыльский район, с.Крупец  ул.Советская, 144а	22331 (Казарезов Евгений Владимирович)	51.624043	34.359859	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Котово ППС Курской области	53577	Пристенский район, с. Котово	21101 (Угримов Генадий Владимирович)	51.270742	36.429101	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Котово ППС Курской области	53579	Пристенский район, с. Котово	21101 (Угримов Генадий Владимирович)	51.270742	36.429101	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-33	53070	п. Кез, ул. Лесовозная, 37 	(8-341-58) 3-11-01 (Тихонов Константин Апполосович)	57.897529	53.709579	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост п. им. Ленина ППС Курской области	53581	Советский район, п. им. Ленина<br />	35616 (Минаев Валерий Леонидович)	51.867966	37.552552	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост п. им. Ленина ППС Курской области	53583	Советский район, п. им. Ленина<br />	35616 (Минаев Валерий Леонидович)	51.867966	37.552552	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
9 ПЧ по охране Курчатовского района  ГУ &quot;1 Отряд ФПС по Курской области&quot;	53363	Курчатовский район п.К.Либкнехта ул. К.Маркса, 3	9-15-09 (майор вн. службы Мажоров Анатолий Владимирович)	51.620397	35.463296	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
9 ПЧ по охране Курчатовского района  ГУ &quot;1 Отряд ФПС по Курской области&quot;	53369	Курчатовский район п.К.Либкнехта ул. К.Маркса, 3	9-15-09 (майор вн. службы Мажоров Анатолий Владимирович)	51.620397	35.463296	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-31	53065	п. Игра, пер. Советский, 28	(8-341-34) 4-21-10 (Петров Артем Владимирович)	57.550775	53.066763	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-66	54003	с. Еткуль, Переулок 17, д.14	8 351 45 2-12-67 (Начальник ФОМЯКОВ Алексей Александрович)	54.826474	61.594317	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-61	53975	с. Долгодеревенское, ул. Сиреневая, 1б	код 8-351-44 3-20-29 ПЕРШУКОВ Сергей Викторович	55.345836	61.321876	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть № 25 (Красный Октябрь) 	53311	Красный Октябрь, п.Каргаполье	8(35256) 2-46-01 (Семиренко Алла Анатольевна, инспектор по основной деятельности)	55.649967	64.812451	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
24 ПЧ Глушковского  района ППС Курской области	53417	п. Глушково, ул.Ленина, 263<br />	21001 (Щербаков Дмитрий Александрович)	51.335859	34.631024	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
24 ПЧ Глушковского  района ППС Курской области	53419	п. Глушково, ул.Ленина, 263<br />	21001 (Щербаков Дмитрий Александрович)	51.335859	34.631024	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Верхний Любаж ППС Курской области	53585	Фатежский район, с. Верхний Любаж	41201 (Гнездилов Алексей Васильевич)	52.217305	35.834039	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с. Верхний Любаж ППС Курской области	53587	Фатежский район, с. Верхний Любаж	41201 (Гнездилов Алексей Васильевич)	52.217305	35.834039	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-27	53057	с. Вавож, пер. Азина,2	(8-341-55) 2-10-01 (Кузьмин Евгений Леонидович)	56.866150	51.953031	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-57	54040	с. Бреды,  ул. Маяковского, 3	код  8 351 41 3-54-73 БОРОДИН Сергей Павлович	52.411972	60.346485	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
22 ПЧ Большесолдатского  района ППС Курской области	53411	п.Б.Солдатское, ул. Кооперативная, 19	21101 (Самойлов Валерий Владимирович)	51.331560	35.522971	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
22 ПЧ Большесолдатского  района ППС Курской области	53413	п.Б.Солдатское, ул. Кооперативная, 19	21101 (Самойлов Валерий Владимирович)	51.331560	35.522971	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
32 ПЧ Курского  района ППС Курской области	53465	Курский район, с.Беседено	597156 (Руднев Сергей Николаевич)	51.708735	36.471636	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
32 ПЧ Курского  района ППС Курской области	53467	Курский район, с.Беседено	597156 (Руднев Сергей Николаевич)	51.708735	36.471636	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-26	53055	п. Балезино, ул. Полевая, 12	(8-341-66) 5-27-18 (Цветков Александр Сергеевич)	57.978605	53.004033	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
10 ПЧ по охране г. Льгова ГУ &quot;1 Отряд ФПС по Курской области&quot;	53373	г. Льгов, ул. Комсомольская, 41	2-23-01 (подполковник вн. службы Фрундин Александр Викторович)	51.660613	35.263753	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
